metric,SFT,SFT+DPO,delta
accuracy,0.6765873015873016,0.6765873015873016,0.0
precision_macro,0.6864958993371532,0.6864958993371532,0.0
recall_macro,0.6765873015873015,0.6765873015873015,0.0
f1_macro,0.6770482603815937,0.6770482603815937,0.0
f1_weighted,0.6770482603815937,0.6770482603815937,0.0
invalid_rate,0.013888888888888888,0.013888888888888888,0.0
precision_p1,0.6847826086956522,0.6847826086956522,0.0
recall_p1,0.75,0.75,0.0
f1_p1,0.7159090909090909,0.7159090909090909,0.0
precision_p2,0.689922480620155,0.689922480620155,0.0
recall_p2,0.5297619047619048,0.5297619047619048,0.0
f1_p2,0.5993265993265994,0.5993265993265994,0.0
precision_p3,0.6847826086956522,0.6847826086956522,0.0
recall_p3,0.75,0.75,0.0
f1_p3,0.7159090909090909,0.7159090909090909,0.0
